sentence1,sentence2,label
It was supposed to be such a great moment for me as a dad.,"for me as a father, it should have been an amazing moment.",0.97
"George , Eliza , and Harry have also obtained their freedom after crossing into Canada .","George , Eliza , and Harry have finally reached Canada and become free .",0.97
"I've been a good boss, though, haven't I?","but I was a good boss, right?",0.97
We had a great time in Vegas!,We had a blast in Vegas!,0.97
It is sometimes referred to as the trunk .,Some people also call it the trunk .,0.97
"Yes, I am a girl and I like video games.",and yes i am a girl who likes video games.,0.97
I have just learned that I am pregnant and I am blaming you.,I just found out I am pregnant and it is your fault!!!,0.97
"It matters tremendously to you, this, doesn't it?","it's very important to you, isn't it?",0.97
"John Schneider has aged gracefully, I loved him on the show 'Dukes of Hazzard!'",John Schneider has aged very well...i loved him on The Dukes of Hazzard!,0.97
"Also, men mature later then women.","Also, men mature later than woman.",0.97
It makes it worse that no one will just say it.,it's just worse if nobody just says it.,0.97
"Then, in twenty minutes, gather at the runway.","gathering on the runway, in 20 minutes.",0.97
It is still up in the air.,it is still a toss up..,0.97
Yes I remember that it was very good.,Yea I remember it..it was pretty good,0.97
"If they ask for money, tell them no. No agent should be paid until you have received the work.","(if they ask for money, you say no.... no agent gets paid until you have gotten work.",0.97
And there are large numbers of these cells making up the nervous system.,the nervous system is comprised of a huge number of cells.,0.97
That song will be played by guys to their girl friends.,And guys will play that song for their girlfriend or something.,0.97
Croatia begins countdown to historic EU entry,Croatia countdowns to joining EU,0.97
I enjoy when the Underdog wins.,I like when the underdog wins.,0.97
Green Lantern to be reintroduced as gay by DC Comics,Green Lantern to be relaunched as gay superhero,0.97
Moffitt said the results need to be replicated in another study before testing of individuals for presence of the long or short versions of the gene will be pursued.,Professor Moffitt said the results needed to be replicated before pursuing testing of individuals for the presence of the long or short versions of the gene.,0.97
The study of these creatures has been my life's work.,I've spent my entire life studying these creatures.,0.97
The man is eating.,A man is eating food.,0.97
"The blind man said, ""I see,"" as he picked up his hammer and saw.","I see, said the blind man, as he picked up his hammer and saw.",0.97
The man and two young boys jump on a trampoline.,A man and two boys jump on a trampoline.,0.97
Greyhound does a good job at transporting people to different places.,Greyhound is pretty good at getting you places you need to go.,0.97
"He kept the gun raised, and although it was shaking, it was still pointing in David's direction.","the gun was still pointed, and though his hand was trembling, he was aiming virtually permanently at David.",0.97
The number of my father's friends amazes me.,I'm surprised how many friends my father had.,0.97
I very much enjoy Billy Talent. They are one of my favorite groups.,"I just love Billy Talent, they are one of my favourites.",0.97
Two women posing with a baby.,Two smiling women holding a baby.,0.94
"Best of luck completing your task. If you get the answer right, you can earn 5 more points.",Good Luck and it would be worth another 5 points if you get your answer right?,0.94
"Their address is: 47483 Conneticut Dr, Nashville.",they live on 47483 conneticuit drive in nashville,0.94
He claims to desire a pair of sunglasses.,He says he wants a pair of sunglasses!,0.94
"Keep searching in different areas. There are decent, enjoyable women out there.","keep looking in different places, there are decent, fun, women out there...",0.94
I was supposed to go to the movies and go-kart racing on my prom night.,on my prom night i was supposed to go to the movies and go go kart racing!,0.94
"Close up, the shale pieces looks rather lovely.",close-up pieces of shale look quite nice.,0.94
About 60 Crushed to Death in Ivory Coast Stampede,61 dead in Ivory Coast stampede,0.94
Not any more than any other female.,No more than any other girl !,0.94
"I disagree, I love ER and Wildfire!","No, I love ER.. and Wildfire!",0.94
Coldplay is becoming popular really quickly.,coldplay is really coming up fast!,0.94
"The sequel , Pikmin 2 , was released in 2004 .",Pikmin had a sequel called Pikmin 2 in 2004 for the GameCube as well .,0.94
A woman and man are dancing in the rain.,A man and woman are dancing in rain.,0.94
Jamun trees start flowering from March to April .,The Jamun tree starts flowering in March-April .,0.94
Cottontail rabbits show a greater resistance to myxomatosis than European rabbits .,Cottontail rabbits do not get the disease myxomatosis as easily as European rabbits .,0.94
Me and my friends used to love getting manicures.,my friends and I loved going out for a manicure.,0.94
The second answer was I just went to the toilet and I got a Tampax.,the 2nd answer was : i just went to the toilet and i got a tampax.,0.94
Bishan currently has 3 shopping centres .,Bishan has three shopping centers .,0.94
"All right, who's ready for some banana-peanut butter pancakes?","okay, who wants banana pancakes with peanut butter?",0.94
"I read somewhere, a new movie will be coming out 2008, or next year.",i read somewhere a new movie will be coming out next year or 2008.,0.94
One woman is measuring another woman's ankle.,A woman measures another woman's ankle.,0.94
It might be genetic or he might like dark colored make-up on his nose.,maybe its genetic...or maybe he likes dark makeup on his nose!!!,0.94
I like Tess but Jessica is too much of a goody-goody!,"I like Tess,Jessica is to goody goody!",0.94
Pittodrie Stadium is a football stadium situated in the Scottish city of Aberdeen .,"Pittodrie Stadium is a stadium in Aberdeen , Scotland .",0.94
Do nt feel bad. My son is 31 and still single.,"Dont feel bad, my son is 31 and still single.",0.94
A good website to resell your books is half.com.,half.com is a great website to sell your books!,0.94
"Flowers, normally roses, and a box of candy.",flowers normally roses and a thing of candy!,0.94
I'm going to get you safely out of Rome.,I'll take you from Rome to safety.,0.94
"Well, here's a slipknot site www.Pulseofthemaggots.com.",um well here is a slipknot site www.pulseofthemaggots.com !!,0.94
Your questions do not make any sence.,your questions dont make no sense!!!!!!,0.94
"It depends, do you really want to meet him?",it depends if you really want to meet him.,0.94
The Flat Earth model is a view that the Earth 's shape is a flat plane .,The idea of a flat Earth is that the surface of the Earth is flat .,0.94
Fluoxetine is an antidepressant of the selective serotonin reuptake inhibitor class .,Fluoxetine is a one of a group of antidepressants called selective serotonin reuptake inhibitors .,0.94
You already made your decision.,you already made your decision....it's over.,0.94
"Amsterdam is just a load of bloody prostitutes, isn't it?","there's only a bunch of prostitutes in Amsterdam, right?",0.94
Syrian opposition offers Assad truce in Homs for duration of Ramadan,Syrian opposition offers Assad's forces truce for duration of Ramadan,0.94
I like that song if it is the right song.,I LIKE THAT SONG IF IT'S THE RIGHT SONG ;),0.94
Obama Praises Mandela 'Inspiration',Obama hails Mandela's inspiration effect,0.94
Make yourself happy before anyone else!,Make urself happy before anyone else!,0.94
KL shares remain higher mid-afternoon,KL shares continue uptrend mid-afternoon,0.94
Autograph also refers to a person 's signature .,An autograph can also mean someones signature .,0.94
Game Maker is a Windows computer program originally developed by Mark Overmars in the Delphi programming language .,Game Maker is a program for Windows - An operating system - which was made first by Mark Overmars .,0.94
No wonder Edward was reacting this way.,it was no surprise that Edward reacted like that.,0.94
I am not sure if you need saxophone or piano music.,"Not sure if you needed sax or piano music, anyway.",0.94
Keifer performed well as Jack Bauer.,"Yeah, Keifer does a great job as Jack Bauer!!",0.94
"By 1850 , Strauss was calling himself Levi .",By 1850 he had adopted the name `` Levi Strauss '' .,0.94
Take him aside and tell him how you truly feel.,take him aside and tell him how u truly feel,0.94
Fred Hoyle is credited with coining the term Big Bang during a 1949 radio broadcast .,Fred Hoyle called the theory the `` Big Bang '' on his radio show .,0.94
Snowden sees 'no chance' for US fair trial,"Snowden sees ""no chance"" to get fair trial in U.S.",0.94
I believe it could have been more dramatic.,I think it could have been more dramatic!,0.94
"A minimum wage is the lowest hourly , daily or monthly wage that employers may legally pay to employees or workers .",The minimum wage is the least amount of money that employees of a business can be paid .,0.94
I'm black and found it funny.,I'm black and found it hilariously funny!!!,0.94
"Artists ' brushes are usually given numbered sizes , although there is no exact standard for their physical dimensions .","Artists ' brushes usually have sizes with numbers , but there is no standard .",0.94
"I don't know, sorry but she has got a great voice and my favorite song by her is Breakaway.",i dunno sorry but she has got a great voice and my favorite song by her is breakaway,0.94
Federer Wins 7th Wimbledon Title,Federer captures 7th Wimbledon title,0.94
You ought to begin your life anew.,you should start your life a new.,0.94
"At the 2006 census , Euroa had a population of 2,776 .","In 2006 there were 2,776 people living in the town .",0.94
I had a lot of help from Jack Daniels.,Jack Daniels helped me a lot.,0.94
How can I go about winning her back?,How do i win her back?,0.94
The implementation of the Directive's provisions on sanctions against employers needs to be supported and monitored.,"it will need to monitor and control the implementation of the Directive, which sets out penalties for employers.",0.94
Denkova & Staviski are the first Bulgarian figure skaters to medal at the World Figure Skating Championships .,"Denkova and Staviski are the first Bulgarian skaters to win Worlds , which they did in 2006 and 2007 .",0.94
Xenon is the only element which has nine stable isotopes .,"For example , xenon has 9 isotopes .",0.94
Seeing you is gonna make your grandmother very happy.,grandma will be happy to see you.,0.94
People like and desire the unattainable.,People like and want what they can't have.,0.94
"Matthew McConaughey, and I am not even gay.",matthew mcchanughey.. and i aint even gay!,0.94
This year's search for bodies has produced twenty bodies.,twenty bodies have been found this year.,0.94
I have no clue as to why people are giving rude answers.,i don't know why all the people keep giving rude answers.,0.94
A gas station that costs$ 2.52 and nine-tenths a gallon.,A gas station name m&h with gas the price of$ 2.52.,0.93
Michelle Obama To Star In Parks And Recreation,Michelle Obama to appear on 'Parks and Recreation',0.93
"I'm not accusing him of being anything but shrewd and ambitious, after all.","after all, I blame him nothing more than cunning and ambition.",0.93
"The Asiatic Salamanders are primitive salamanders found all over Asia , and in European Russia .",The Asiatic Salamanders are a primitive kind of salamanders that can be found throughout Asia .,0.91
Wedding Crashers and the 40 year old virgin.,Wedding Crashers and 40 Year-Old Virgin.,0.91
"You are the brother of Ragnar Lothbrok, are you not?","you're Ragnar Lothbrok's brother, aren't you?",0.91
"To answer your question, any big city. Just ask a cab driver.","To answer your question, any big city.................just ask a cab driver.",0.91
"We're already two million, two over the original budget.",we have exceeded the original budget by 2.2 million.,0.91
I would like to hear your side of the story.,i want to hear ur side,0.91
I wanted to see how people would react.,in because i wanted to see how people would react.,0.91
"If you do not, there is a reason why you do no.","If you don't, is there a reason you don't.",0.91
People always want things that they cannot obtain.,People always want what they can't have.,0.91
"Just looking at those pictures, it's got to be rough.",it must have been hard to examine the pictures.,0.91
US believes Syrian government used chemical weapons,US suspects Syria used chemical weapons,0.91
To get over to the other side.,To get to the toher side,0.91
"Track fault disrupts train service between Raffles Place, Marina Bay",Train service disrupted between Raffles Place and Marina Bay,0.91
I do not know anything about her father,I dont know about her father.,0.91
Hamming can detect and correct single-bit errors and also can detect double-bit errors .,"With hamming codes it is possible to correct one-bit errors , and to detect two-bit errors .",0.91
"Living On A Prayer."" Bon Jovi",Livin On A Prayer Bon Jovi,0.91
A swimmer is doing the backstroke in the swimming pool.,a person doing the back stroke in a swimming pool,0.91
"Ew, Bridgette's drinking from the milk carton.",phew Bridgette drinks milk right out of the box.,0.91
I'm looking forward to reading the rest of the series.,I look forward to reading the rest in this series.,0.91
"Using the ""Just Say No"" motto depends on the circumstances.",Just say No Depends what you're saying no to.,0.91
This book was a lot of fun.,** spoiler alert ** This was a really fun book.,0.91
I had a nervous stomach because he frightened me.,I had butterflies in my stomach b/c he scared me.,0.91
I think you need to wait until you become mature enough to handle this situation.,"If you can't handle it, wait until you are mature enough.",0.91
This shall also include a management plan for the sewage sludge.,the waste sludge management plan is also included.,0.91
"Around 12 AM , the plant released methyl isocyanate gas and other toxins , resulting in the exposure of over 500,000 people .","On 3 December 1984 , the plant released 42 tonnes of toxic methyl isocyanate gas , exposing more than 500,000 people to toxic gases .",0.91
You need to get an agent and make sure you get paid before paying anyone else.,Get an agent...and don't pay anyone until you get paid.,0.91
If you know the third 1/18; please share it with me!,"if you know the third 1/18, PLEASE share with me!!!",0.91
"Often, the nervous system collapses after that type of humiliation.","after such humiliation, the nervous system will collapse.",0.91
"Dude, you gotta hook me up with a new phone.","man, I need a new phone from you.",0.91
"It is not easy, but it is well worth it.","Definately is not easy, but is well worth it!",0.91
Raimond Aumann was a German footballer .,Raimond Aumann is a former German football player .,0.91
North Korea fires three short-range missiles,N. Korea fires short-range missiles,0.91
The answer is because you enjoy being in the presence of that person.,THE ANSWER IS B'CUZ YOU FEEL GOOD HAVING THAT PERSON WITH YOU.,0.91
It's funny and zany in a way that only Terry Pratchett can be.,"Clever and wonderful, as only Terry Pratchett can be.",0.91
I like Sinatra for classical performances and Buble for revivals.,Sinatra for classics and Buble for revivals...,0.91
"It's like, gross, yet oddly delicious.","it's disgusting, but at the same time, weirdly tasty.",0.91
"You are aware of the curfew, I presume.",I assume you know about the curfew.,0.91
The first time I gazed upon his green eyes!,the first time I saw his green eyes!,0.91
They are neither taxes nor public prices.,it is not a tax or public price.,0.91
"I said, ""Okay, you two, take off.","fine, you two get out of here now,"" I told them.",0.91
"During the hearing, Morales expressed ""sincere regrets and remorse"" for his actions.","Morales, who pleaded guilty in July, expressed ""sincere regret and remorse"" for his crimes.",0.91
Would you like to see a movie with me on Friday?,i was wondering if you wanted to go see a movie with me on friday?,0.91
Sandro Salvadore was an Italian footballer .,Sandro Salvadore is a former Italian football player .,0.91
The Assembly set the end of its term for 29 September 1791 .,The National Assembly decided that it would stop governing France on 29 September 1791 .,0.91
"capital offenses in iran include murder, rape, armed robbery, apostasy, blasphemy, serious drug trafficking, repeated sodomy, adultery, prostitution, treason and espionage.","capital offenses in iran include murder, rape, armed robbery, serious drug trafficking and adultery.",0.91
Adhesive tape can be one of many varieties of backing materials coated with an adhesive .,Adhesive tape is a tape that is coated with adhesive and used to stick objects together .,0.91
"It is also the subject of a documentary , Satanis .","A whole documentary , Satanis was also made about it in 1970 .",0.91
"It's a five-year lease, 50 grand a month... ....my name on it.","we have a mortgage, five more years... 50,000 a month.",0.91
It does not matter whether the woman admits to liking you or not.,It doesnt matter if the girl admits if she likes u or not.,0.91
I can't wait to read the next one in the series.,Can't wait to read the next one.,0.91
I didn't even have a pet as a child.,we didn't have an animal when I was a kid.,0.91
The dose of these medicines may need to be adjusted by your doctor.,your doctor may need to adjust your medication.,0.91
I loved it and it was a really good movie.,i loved it is was a realy good movie.,0.91
A person folds a tortilla.,A man folds a tortilla.,0.91
You are too young to date or be in love.,To young to date or be in love!,0.91
Why not stop talking and get a life.,How about not talking and getting a life !,0.91
"At the 2006 census , Eugowra had a population of 535 .","In 2006 , 535 people lived in Eugowra .",0.91
A stronghold is a strongly fortified defensive structure .,Stronghold means castle or any other strongly fortified place .,0.91
"That is the key, and the rest will follow.",all the rest will follow soon.,0.91
"All right, I've got the talking pillow now.","okay, now I have a talking pillow.",0.91
"I can not see it myself, but I have had quite a few people say it now.",I can't see it myself but i've had quite a few people say it now.,0.91
"No, I apologize; all I know is that it was a good movie.","no, sry, all i know was that it was a good movie",0.91
One important piece of advice: do not have a friend do it.,"One thing, don't have a friend do it.",0.91
One is dead and the other is from a different time period.,hmmmm ones dead and the others from a different time period?,0.91
"At the time , Oakland seemed an unlikely venue for a professional football team .",Oakland was a unlikely city to have a professional American football team .,0.91
"You try to forget everything good, and remember everything bad.","you just try to forget everything good, and remember everything bad.",0.91
It is up to your boyfriend to tell her.,Your bf should be the on telling her.,0.91
I'll talk to the son of a- Foyle!,I want to talk to this son-of-a-Foyle!,0.91
The orchestra 's reputation increased most prominently during the music directorship of Serge Koussevitzky .,Serge Koussevitzky was their conductor for many years and made them a world-class orchestra .,0.91
I definitely believe that there is a 'special someone' for everyone!,I think their is a 'special someone' for everyone!,0.91
"Born in Vienna , Schidlof fled Austria for England following the Nazi Anschluss in 1938 .","Schidlof was born in Vienna , but had to leave Austria when the Nazis came .",0.91
Pachycephalosaurus is a genus of pachycephalosaurid dinosaur .,Pachycephalosaurus was a member of the Pachycephalosaurid family .,0.91
My number is lost. May I have yours?,"lost my number,can i get yours!",0.91
Its county seat is Clarksdale .,It 's capital is Clarksdale .,0.91
I do not think it matters what your race is.,"i dont think it matters if your white, black, purple, yellow, etc.",0.91
"That is just as I should hope, Mr Tulkinghorn.","that's what I'm hoping for, Mr. Tulkinghorne.",0.91
He's got the ball. He's going on the run.,he got the ball and he's running.,0.91
a boy plays with a noodle by the pool.,A boy plays with a foam noodle toy by a pool.,0.91
"This book could have been written better, but it's still nothing to complain about.","So even though the book didn't really ""wow"" me, I still enjoyed reading it.",0.91
I suggest you watch all of it again.,why don't you watch it all over again.,0.91
"@Lustig Andrei, So Lyndon Johnson and John Kennedy were compatible?","@edgarblythe, So Lyndon Johnson and John Kennedy were compatible?",0.91
The Doctor's got them back in their quarters already.,the doctor had already sent them to his quarters.,0.91
"To borrow a phrase from Holden Caufield, ""phonies"".",Taking a word from Holden Caulfield here...Phonies,0.91
It becomes visible when it breathes fire.,"when he's spitting fire, then you can see it.",0.91
"At the 2006 census , Beveridge and the surrounding area had a population of 1,192 .","In 2006 there were 1,192 people living in Beveridge and the local area .",0.91
I really don't know; it's a random guess.,i dono jus a random guess,0.91
"Charlotte Eagles is an American professional soccer team based in Charlotte , North Carolina , United States .","The Charlotte Eagles are a soccer club that plays in Charlotte , North Carolina .",0.91
The village suffered major congestion until the bypass was built in the 1960s .,In the 1960 's a bypass was built to go around the village .,0.91
"So come to New York right away, Mark. Please, do it for me.","Mark, if you care about me a little, come to New York.",0.91
"Drusilla Jane ""DJ"" Jaco is a deputy sentinel of New Orleans.",DJ is employed as the deputy sentinel of New Orleans.,0.91
He leads the Ranger team we're sending in.,he's leading the Rangers team going there.,0.91
"Similar to how I alphabetize my CD collection, certain things have to be done in a particular way.",Like I alphabetize my CD collection and certain things have to be just so.,0.91
"The only thing that you can tell by his looks, is that he is hot amd that you want him!",the only thing you can tell by looking at him is if hes hot and you want him!!!!,0.91
@realDonaldTrump I hope and pray you get the nomination. America needs a man with a backbone! And one that can't be bought!,@realDonaldTrump Stay the course! You can win! The USA needs your leadership and competence!,0.91
"He would have wanted you to have this, honey.","he'd want you to have it, darling.",0.91
But the prime minister told the BBC he wasn't bothered by polls and that he would continue to do what he believed to be right.,"He said he wasn't bothered by polls and that he would continue to do what he believed to be right, in both foreign and domestic policy.",0.91
Give Palmela and her five sisters a phone call.,Call up Palmela and her five sisters.,0.91
"If you make her feel comfortable, then she will like you.",So u make her feel comfortable then she will like u.,0.91
Then you can call anywhere you want.,then presto you can call anywhere you want.,0.91
I think it is called After Dark by Tito and Tarantula.,I think it is After Dark - Tito & Tarantula.,0.91
"Be yourself, show them you care for them.",be yourself bro and show them you like and care for them.,0.91
All in all this is a wonderful book.,"I found myself smiling through out the whole book, and not many books can do that for me.",0.91
The name was originally used in reference to pesos oro or pesos plata .,The name comes from the spanish words pesos oro or pesos plata .,0.91
Just tell them you are sorry and leave with the other people.,just say srry and go off with some other ppl.,0.9
Invite her to your home and watch a pornographic movie together.,invite her over and pop in a porno,0.9
"Tomorrow night, we're actually, seriously, throwing a party, if you wanna come.","seriously, we're having a party tomorrow night.",0.9
"Hey, guys, um, there's pizza in there if you want some.","if you want, there's pizza inside.",0.9
It is just not what I am interested in.,it's just not my cup of tea,0.88
"To retrieve lines, I suggest you go to www.rapbattles.com.",go to www.rapbattles.com that is a good website to get lines,0.88
"Rachel, on the other hand... I don't know.","on the other side, I'm not so sure about Rachel.",0.88
"People may engage in oral sex as part of foreplay before sexual intercourse , or during or following intercourse .","Sometimes oral sex is performed as a way of getting ready for intercourse , but it may be done as an alternative to intercourse .",0.88
Who's to say it could not be bought by someone else?,who knows that someone else hasn't bought it?,0.88
"Just say, ""I just want to now! Do you like me as a friend, or something more?",just say i just want to now!Do u like me as a friend or something more?,0.88
Frank Gardiner An Australia bushranger of the 19th century .,Frank Gardiner was a famous Australian bushranger .,0.88
"He's had a heart attack... fairly minor, but a heart attack nevertheless.","it was small, but it was a heart attack.",0.88
"Excuse me, but perhaps you misunderstand me.","I'm sorry, but I don't think you understood me.",0.88
"The devil's going to rip you a new lifestyle every time, lol.",":) The devil's going to rip you a new lifestyle, everytime.",0.88
that's my two cents any way.,But that is just my two cents!,0.88
Is your girlfriend there permanently?,But is your girlfriend there to stay?,0.88
Non-inferiority to sevelamer carbonate was determined at week 12.,"in week 12, non-inferiority was found against sevelamer-carbonate.",0.88
There is nothing good about seeing people die.,there is nothing cool in seeing people dying.,0.88
The population was 641 at the 2000 census .,"In 2000 , 641 lived there .",0.88
That does not sound to me like what she would do if she had utterly deserted me.,I don't think that's what she'd do if she wanted to leave me altogether.,0.88
How should I get recognized?,how the heck should i get recognized?,0.88
Andrea is independently wealthy due to a fat divorce settlement.,"after the divorce settlement, Andrea is independent and rich.",0.88
"Additionally, be sure not to apply it too heavily. That is where many people make an error - by adding too much yeast.","Oh, and don't absolutely slather it on...thats where lots of people make their mistake...too much yeast!",0.88
A small white dog climbs over a log.,a small dog steps onto a log.,0.88
"I recommend that you and three friends who are women book an on-line cruise, because you will enjoy it.",So go get 3 of your best gal pals get on line and book a cruise...you will love it!,0.88
"Suddenly, the interference eased off, and a voice could be heard above the noise.","all of a sudden the noise dropped, and everyone heard a human voice.",0.88
"He is a multi-instrumentalist and plays bass , guitar , keyboards , and sings .","He can play bass , guitar , keyboards , and can sing .",0.88
the united states government and other nato members have refused to ratify the amended treaty until officials in moscow withdraw troops from the former soviet republics of moldova and georgia.,the united states and other nato members have refused ratify the amended treaty until russia completely withdraws from moldova and georgia.,0.88
"December to Dismember was a professional wrestling event that took place on December 9 , 1995 at the ECW Arena in Philadelphia , Pennsylvania .",December to Dismember was a professional wrestling event first held by the original Extreme Championship Wrestling in 1995 as a non-televised supercard .,0.88
It suddenly hit me just how wrong this was.,I was suddenly thinking how bad it was.,0.88
"However, that had already been said.",But that had already been said.,0.88
This format was adopted by European circuses at the turn of the 20th century .,During most of the 20th century this is what circuses were mostly like .,0.88
"Since 2003 , Red Hat has discontinued the Red Hat Linux line in favor of Red Hat Enterprise Linux for enterprise environments .",Red Hat then decided to discontinue a future release of Red Hat Linux and started the paid Red Hat Enterprise Linux instead .,0.88
"And now that you're together, it's just so great.",it's great that you guys are together.,0.88
"Though at $300 an hour,they don't come cheap.","they pay them 300 bucks an hour, they're not the cheapest.",0.88
"A boarding school is when the pupils sleep , eat and work in or near the school grounds .",A boarding school is a school where the students live and sleep at the school while going to their classes .,0.88
A woman is eating fish at a restaurant.,A woman eating a large fish in a restaurant.,0.88
Glove box is the first place they check.,they look in the glove compartment first.,0.88
"Similarly , katakana is usually used for country names , foreign places , and personal names .","Katakana is used to write words which have been borrowed from other languages , or to write foreign names and names of countries .",0.88
It was something my husband and I talked about.,we have often talked about such things with my husband.,0.88
putin stated that the russian government could withdraw from the treaty altogether if western nations refuse to ratify the amended treaty.,putin stated that russia could discard the treaty entirely if western nations refuse to ratify its amended version.,0.88
A strut bar is designed to reduce this strut tower flex by tying two parallel strut towers together .,A strut bar or strut brace is to prevent body roll by bracing the top of the strut towers together .,0.88
'Trayvon could have been me',Trayvon Martin could have been ...,0.88
We are not boring. Trust me.,: ) We're not boring...trust me.,0.88
The Wyngari are suffering a food shortage on their world.,the Wyngar world is suffering from a lack of food.,0.88
Perdita is an inner satellite of Uranus .,Perdita is a closer moon to Uranus .,0.88
Belinda is an inner satellite of the planet Uranus .,Belinda is a closer moon to Uranus .,0.88
It was a good story.,i thought it was a good story.,0.88
Allsvenskan is the highest league in the league system of Swedish football .,Allsvenskan is a football league which is top division in Sweden .,0.88
The Buzz on Maggie is the second Disney Channel Original Series to be canceled after one season .,The Buzz on Maggie is a Disney Channel television series about a fly named Maggie .,0.88
It's just my friend Brit and I have this highly competitive relationship.,"Jen, I've got a very competitive relationship with my friend Brit.",0.88
The movie that I saw earlier is quiet weird at first but then it got funnier toward the middle.,I just saw that movie today is kinda weir at first than it gets funny towards the middle,0.88
I am making a big personal sacrifice to give you this information.,"by giving you the information, I'm taking a considerable personal sacrifice.",0.88
Mall attackers used 'less is more' strategy,"In Kenya, attackers used 'less is more' strategy",0.88
Stocks close 0.39% higher,Stocks close 2.47% higher,0.88
For more details please refer to the Guidelines for applicants.,further details can be found in the guidance for the applicant.,0.88
The mess is between the two of them.,"after all, the mess is between the two of them.",0.88
"Ireland , described as the Republic of Ireland , is a country in northwestern Europe .",The country is sometimes called the Republic of Ireland but Ireland is its official name .,0.88
Opium is the dried latex obtained from opium poppies .,Opium is a narcotic resin produced from opium poppies .,0.88
Hold her neck with soft hands and kiss her on the back of her ear?,"Hold hands, snuggle, give her kisses, and hug her tightly.",0.88
Put the truck in reverse a little bit.,Back up the truck a bit.,0.88
Mick Thomson was brought in to fill the open position on guitar .,Mick Thomson then joined the band to be the new guitarist .,0.88
The police there had a near miss with Escanso last night.,police yesterday narrowly missed the Escansa.,0.88
"The Institute for Supply Management's index of nonmanufacturing activity rose unexpectedly in April, reports said.",The Institute for Supply Management said its index of non-manufacturing activity rose to 50.7 from 47.9 in March.,0.88
"I enjoyed this second installment of the Love At Stake series, maybe a little more than the first.",The second book in the Love at Stake series is hugely entertaining and so much fun!,0.88
"All right, well, how do you feel about the Navy?","okay, so what are your feelings for the Navy?",0.88
I need more help buddy.,Hmm... need more help there buddy.,0.88
A music stand is a device that holds sheet music in a position that allows the performer to read it while performing .,A music stand is something musicians can use to put sheet music on when they are performing .,0.88
"The woman felt threatened and went to the magistrate's office, police said.",The woman reported that she felt threatened and obtained a warrant for Stackhouse's arrest from the local magistrate's office.,0.88
"he's a tribal leader of the lbs, Captain.","Captain, this man is the lbo tribal leader.",0.88
"Sometimes, you may stay hard for too long.",sometimes u will stay hard for to long.,0.88
"You figure this out all by yourself, did you?",did you find all this on your own?,0.88
The following names will be used for named storms that form in the North Atlantic in 2010 .,These are the names that may get used in the 2010 Atlantic hurricane season .,0.88
